Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Avg Min Explanation Size,Avg Max Explanation Size,Avg Explanation Count,Language,Question,gpt-4o-mini_response,deepseek-reasoner_response,llama-4-maverick_response
1hop-Thing_ada_steward_1871-ada-hasFather-BIN,Thing_ada_steward_1871,43,4,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasFather> <http://www.example.com/genealogy.owl#james_steward_1830> },hasFather,true,1,2,10,English,Is Ada Steward the daughter of James Steward?,TRUE,TRUE,TRUE
1hop-Thing_ada_steward_1871-ada-hasFather-MC,Thing_ada_steward_1871,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasFather> ?object },hasFather,james_steward_1830,1,2,10,English,Who is the father of Ada Steward?,james_steward_1830,james_steward_1830,james_steward_1830
1hop-Thing_alan_john_dowse_1936-ethel-hasChild-BIN,Thing_alan_john_dowse_1936,43,3,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasChild> <http://www.example.com/genealogy.owl#alan_john_dowse_1936> },hasChild,true,1,3,10,English,Does Ethel Archer have a child named Alan John Dowse?,TRUE,TRUE,TRUE
1hop-Thing_alan_john_dowse_1936-alan-hasRelation-BIN,Thing_alan_john_dowse_1936,43,3,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#alan_john_dowse_1936> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#martin_dowse_1944> },hasRelation,true,1,4,10,English,Is there a relationship between Alan John Dowse and Martin Dowse?,TRUE,TRUE,TRUE
1hop-Thing_alan_john_dowse_1936-alan-hasRelation-BIN,Thing_alan_john_dowse_1936,43,3,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#alan_john_dowse_1936> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#ethel_archer_1912> },hasRelation,true,1,2,6,English,Is there a relationship between Alan John Dowse and Ethel Archer?,TRUE,TRUE,TRUE
1hop-Thing_alan_john_dowse_1936-alan-hasRelation-BIN,Thing_alan_john_dowse_1936,43,3,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#alan_john_dowse_1936> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#maureen_dowse_1939> },hasRelation,true,1,4,10,English,Is there a relationship between Alan John Dowse and Maureen Dowse?,TRUE,TRUE,TRUE
1hop-Thing_alan_john_dowse_1936-ethel-hasChild-MC,Thing_alan_john_dowse_1936,43,3,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasChild> ?object },hasChild,alan_john_dowse_1936,1,3,10,English,Which individuals are the children of Ethel Archer?,"alan_john_dowse_1936, martin_dowse_1944, maureen_dowse_1939",alan_john_dowse_1936,alan_john_dowse_1936
1hop-Thing_alan_john_dowse_1936-alan-hasRelation-MC,Thing_alan_john_dowse_1936,43,3,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#alan_john_dowse_1936> <http://www.example.com/genealogy.owl#hasRelation> ?object },hasRelation,"maureen_dowse_1939, martin_dowse_1944, ethel_archer_1912",1,3,9,English,Which individuals are related to Alan John Dowse?,"ethel_archer_1912, martin_dowse_1944, maureen_dowse_1939","ethel_archer_1912, martin_dowse_1944, maureen_dowse_1939","maureen_dowse_1939, martin_dowse_1944, ethel_archer_1912"
1hop-Thing_alan_john_dowse_1936--type-MC,Thing_alan_john_dowse_1936,43,3,Membership,Multi Choice,SELECT ?class WHERE { <http://www.example.com/genealogy.owl#martin_dowse_1944> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?class },type,"Person, DomainEntity",2,2,10,English,What class or classes does Martin Dowse belong to?,"Man, Person","Person, Man","Man, Person, Ancestor, Domain entity"
1hop-Thing_alan_john_dowse_1936--type-MC,Thing_alan_john_dowse_1936,43,3,Membership,Multi Choice,SELECT ?class WHERE { <http://www.example.com/genealogy.owl#maureen_dowse_1939> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?class },type,"Person, DomainEntity",2,5,10,English,What class or classes does Maureen Dowse belong to?,"Female, Person","Person, Woman","Person, Woman, Female, Ancestor, Domain entity"
